// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::Control::DebugBase                                       | 0x00FD5274 |  34 | 0x012C03B4 | .?AVDebugBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::DesktopUtil                                     | 0x00FDFC9C |  38 | 0x012C34D0 | .?AVDesktopUtil@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::DesktopWidget                                   | 0x00FD5B8C |  38 | 0x012C2108 | .?AVDesktopWidget@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::DesktopWidget::AppendMessageResumeChecker       | 0x00FD5340 |   3 | 0x012C0550 | .?AVAppendMessageResumeChecker@DesktopWidget@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::DesktopWidget::TargetTutorialResumeChecker      | 0x00FD5350 |   3 | 0x012C05B0 | .?AVTargetTutorialResumeChecker@DesktopWidget@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::DirectorBase                                    | 0x00FD5D6C |  34 | 0x012BF9C8 | .?AVDirectorBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::Global                                          | 0x00FD60AC |  34 | 0x012C27C0 | .?AVGlobal@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::Global::OnInitResumeChecker                     | 0x00FD539C |   3 | 0x012C0798 | .?AVOnInitResumeChecker@Global@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::GroupBase                                       | 0x00FD53CC |  34 | 0x012C07E8 | .?AVGroupBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::ImportantItem                                   | 0x00FD5C40 |   6 | 0x012C22C0 | .?AVImportantItem@Control@Client@Script@Lua@Application@@
